Name,Address,PhoneNumber,Latitude,Longitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
바링고빈스,부산광역시 기장군 정관읍 정관덕산길 31,,35.3228694113866,129.183144355341,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00
바리스타들의놀이터,부산광역시 사하구 윤공단로56번길 51,051 263 5726,35.0586851509572,128.969994750587,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,11:00 ~ 19:00,
투썸플레이스부산대정문점,부산광역시 금정구 금강로 260-2,,35.231314059577,129.085248017499,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 23:40,10:00 ~ 23:40
보나단헤어엔카페,부산광역시 금정구 금강로 361,,35.2402959450991,129.086227115795,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 21:00,10:30 ~ 21:00,
노스커피온천장역점,부산광역시 금정구 오시게로 22-1 (부곡동),070 88667460,35.2195745390392,129.086590927284,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,09:00 ~ 19:00,09:00 ~ 19:00
힐링펫,부산광역시 기장군 장안읍 고무로 4,051 727 8256,35.3480134320464,129.257109484443,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00
둥지,부산광역시 남구 문현금융로 1-1 (문현동,051 6355678,35.1429236461342,129.064846368421,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00
부산커피(Busan coffee),부산광역시 금정구 장전온천천로 93,051 5837171,35.2332830669602,129.089051033235,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,10:00 ~ 18:00,10:00 ~ 18:00
투썸플레이스 장림점,부산광역시 사하구 장림로 222 (장림동),051 262 5061,35.0821841327866,128.973353121907,09:30 ~ 22:00,09:30 ~ 22:00,09:30 ~ 22:00,09:30 ~ 22:00,09:30 ~ 22:00,09:30 ~ 22:00,09:30 ~ 22:00
더벤티 정관점,부산광역시 기장군 정관읍 정관7로 3,051 728 0201,35.3223947457244,129.175946815029,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00
빽다방부산정관동오점,부산광역시 기장군 정관읍 정관7로 17-3 (동오A타워105호),051 727 8033,35.3219599482759,129.17696802348,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00
MW커피로스터즈,부산광역시 기장군 정관읍 정관로 501-13,051 728 2814,35.325778928044,129.171471125654,09:10 ~ 18:00,09:10 ~ 18:00,09:10 ~ 18:00,09:10 ~ 18:00,09:10 ~ 18:00,10:00 ~ 18:00,
이디야,부산광역시 기장군 기장읍 차성로288번길 50,051 721 0300,35.242893152384,129.216340815524,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00
텐퍼센트커피 사하구청점,부산광역시 사하구 낙동대로398번길 6 (당리동),051 207 8558,35.1036568672993,128.975147128978,07:30 ~ 20:30,07:30 ~ 20:30,07:30 ~ 20:30,07:30 ~ 20:30,07:30 ~ 20:30,07:30 ~ 18:00,
퓨리티카페,부산광역시 기장군 기장읍 차성로 329,051 727 5787,35.2469322475679,129.213609265754,10:30 ~ 22:00,10:30 ~ 22:00,10:30 ~ 22:00,10:30 ~ 22:00,10:30 ~ 22:00,10:30 ~ 22:00,10:30 ~ 22:00
이디야 부산정관달산점,부산광역시 기장군 정관읍 달산2길 30,051 727 7873,35.3177419880504,129.18382643401,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00
스타벅스 동부산DT,부산광역시 기장군 기장읍 기장해안로 56,051 723 3279,35.184089090691,129.210809152212,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:30,07:00 ~ 22:30,07:00 ~ 22:00
히즈빈스 부산정관점,부산광역시 기장군 정관읍 산막길 26-98,051 728 4633,35.3331309531781,129.172504898162,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:30 ~ 22:00,
웨이브온커피,부산광역시 기장군 장안읍 해맞이로 286,051 727 1660,35.3222715919296,129.269778502763,10:00 ~ 24:00,10:00 ~ 24:00,10:00 ~ 24:00,10:00 ~ 24:00,10:00 ~ 24:00,10:00 ~ 24:00,10:00 ~ 24:00
스타벅스부산대역점,부산광역시 금정구 장전로12번길 64,051 583 8609,35.2305082787738,129.088736491912,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00,08:30 ~ 22:00
투썸플레이스 남산점,부산광역시 금정구 금샘로 399-1,051 583 2460,35.2586362702873,129.08381499601,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00
이디야커피,부산광역시 금정구 중앙대로 2120,051 508 1109,35.2740052793085,129.09305577448,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00
그곳엔,부산광역시 기장군 장안읍 장안로 317-1,051 728 5787,35.3672019453094,129.246921235173,16:30 ~ 24:00,16:30 ~ 24:00,16:30 ~ 24:00,16:30 ~ 24:00,16:30 ~ 24:00,16:30 ~ 24:00,
(주)브라운핸즈 부산광복점,부산광역시 중구 중앙대로 2,,35.0979848964696,129.036632251021,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00
만랩커피 부산동래점,부산광역시 동래구 명륜로129번길 58,,35.2054326854452,129.078998806667,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00
커피맘스,부산광역시 금정구 금샘로 403,051 582 4445,35.2590357650034,129.083876753613,,,,,,,
더윤커피,부산광역시 금정구 팔송로 17-1,051 518 2166,35.2720599578849,129.090567173681,07:00 ~ 21:00,07:00 ~ 21:00,07:00 ~ 21:00,07:00 ~ 21:00,07:00 ~ 21:00,07:00 ~ 21:00,07:00 ~ 21:00
하삼동커피,부산광역시 사하구 승학로 60 (당리동),,35.1050609171967,128.974770879259,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00
이디야커피,부산광역시 사하구 동매로 23,,35.1037845190945,128.961082612203,09:00 ~ 22:50,09:00 ~ 22:50,09:00 ~ 22:50,09:00 ~ 22:50,09:00 ~ 22:50,,
이디야(부산다대포점),부산광역시 사하구 다대로 682,051 265 2055,35.0481822479164,128.966665836616,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 23:00 (주말 및 공휴일은 변경될 수 있음),10:00 ~ 23:00 (주말 및 공휴일은 변경될 수 있음)
하삼동커피 동아대점,부산광역시 사하구 낙동대로 548,,35.1129499886975,128.96448539438,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00
이디야커피부산하단가락1단지점,부산광역시 사하구 하신번영로 320,051 202 9012,35.1093548025561,128.959113112534,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00
쉐이드(SHADE),부산광역시 금정구 하마1길 9,,35.2797213958568,129.076108538122,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00
봄네커피 디저트카페,부산광역시 사하구 낙동대로536번길 17,07087326553,35.1124008542332,128.965988307591,,12:00 ~ 23:30,12:00 ~ 23:30,12:00 ~ 23:30,12:00 ~ 23:30,12:00 ~ 23:30,12:00 ~ 23:00
장안감골,부산광역시 기장군 장안읍 상장안2길 6-7,051 727 4774,35.3695562007517,129.245179123419,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00
은유재,부산광역시 기장군 장안읍 기룡2길 70-4,051 723 1710,35.3560229545362,129.245673567067,11:00 ~ 19:30,11:00 ~ 19:30,11:00 ~ 19:30,11:00 ~ 19:30,11:00 ~ 19:30,11:00 ~ 19:30,11:00 ~ 19:30
CAFE051정관점(카페051),부산광역시 기장군 정관읍 정관로 560,051 728 6869,35.3213484699308,129.175090089593,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00
Cafe봉봉(카페봉봉),부산광역시 기장군 기장읍 차성로 234,070 40461101,35.23830265821,129.213520953935,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,10:00 ~ 19:00,
제이스커피,부산광역시 기장군 일광면 이천8길 132-20,051 714 0838,35.2772363526365,129.234331802065,11:00 ~ 22:00,11:00 ~ 22:00,11:00 ~ 22:00,11:00 ~ 22:00,11:00 ~ 22:00,11:00 ~ 22:00,11:00 ~ 22:00
투썸플레이스부산온천천점,부산광역시 동래구 온천천로 329 (수안동),,35.194247806873,129.089484194069,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00
백카롱,부산광역시 동래구 명륜로 185,,35.2102521960289,129.082360493363,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,
더벤티 명장점,부산광역시 동래구 반송로 271 (명장동),,35.204210079927,129.100887176805,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00
피오나커피,부산광역시 동래구 명륜로 34,,35.1971170378855,129.083510764876,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 22:00,10:00 ~ 22:00
컴포즈 안락SK점,부산광역시 동래구 명장로 129 (안락동),,35.2001123993888,129.11264882908,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00
마스터베이커리,부산광역시 동래구 반송로 291,,35.2063535756832,129.101840748609,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00
라운드어바웃커피,부산광역시 동래구 충렬대로 296 (낙민동),051 514 4080,35.1998256827351,129.091257202983,11:00 ~ 18:30,11:00 ~ 18:30,11:00 ~ 18:30,11:00 ~ 18:30,11:00 ~ 18:30,11:00 ~ 18:30,11:00 ~ 18:30
하삼동 커피(장전퀸즈점),부산광역시 금정구 부곡온천천로 190,051 977 9699,35.2423296835377,129.090547632939,07:00 ~ 24:00,07:00 ~ 24:00,07:00 ~ 24:00,07:00 ~ 24:00,07:00 ~ 24:00,07:30 ~ 24:00,07:30 ~ 24:00
투썸플레이스부산괴정점,부산광역시 사하구 낙동대로 219 (괴정동),051  2931500,35.0998197193453,128.992932986005,10:00 ~ 21:50,10:00 ~ 21:50,10:00 ~ 21:50,10:00 ~ 21:50,10:00 ~ 21:50,10:00 ~ 21:50,10:00 ~ 21:50
화이트 콩,부산광역시 사하구 낙동대로 360 (당리동),051 291 1506,35.1018336343678,128.978404136878,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,,14:00 ~ 23:00
스타벅스 하단중앙점,부산광역시 사하구 낙동남로 1411 (하단동),02 30151180,35.1064881843058,128.966043105523,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00
일번지커피숖,부산광역시 사상구 사상로 478 (모라동),051 3024554,35.1871084998156,128.987604962326,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 22:00,09:00 ~ 22:00
스타벅스 사직구장점,부산광역시 동래구 사직북로 4,051 501 3351,35.1962690162664,129.061358966141,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00
커피스토어 온천장점,부산광역시 동래구 금강공원로 22 (온천동),,35.2189427965023,129.082214115234,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,09:00 ~ 21:00
할리스 부산덕천점,부산광역시 북구 덕천1길 21 (덕천동),051 342 8835,35.2099605173999,129.006754271459,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00
스타벅스 부산화명역점,부산광역시 북구 금곡대로285번길 5 (화명동,051 363 8639,35.2336730290072,129.013176739007,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00
한스커피,부산광역시 북구 의성로95번길 5 (덕천동),051 333 7779,35.2122136070985,129.010810251137,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00,10:00 ~ 23:00
설빙화명점,부산광역시 북구 화명신도시로 130 (화명동,051 361 3227,35.2355023583832,129.01131443216,10:30 ~ 22:30,10:30 ~ 22:30,10:30 ~ 22:30,10:30 ~ 22:30,10:30 ~ 22:30,10:30 ~ 22:30,10:30 ~ 22:30
컴포즈,부산광역시 북구 효열로 211 (금곡동,,35.2631694447934,129.018819078633,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00
아마스빈,부산광역시 북구 금곡대로303번길 35,,35.2354623142481,129.011674144803,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 21:50,09:00 ~ 21:50
더벤티구남역점,부산광역시 북구 백양대로 1018 (구포동),070 47920894,35.1964832257522,128.994955503279,07:30 ~ 22:30,07:30 ~ 22:30,07:30 ~ 22:30,07:30 ~ 22:30,07:30 ~ 22:30,07:30 ~ 22:30,07:30 ~ 22:30
이디야구포사거리점,부산광역시 북구 백양대로 1065,051 315 2002,35.2002736620573,128.997248939108,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00
투썸플레이스부산덕천점,부산광역시 북구 금곡대로 15,051 342 2383,35.2113063615181,129.004462200969,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,09:00 ~ 21:00
엔제리너스수정역점,부산광역시 북구 금곡대로 201 (화명동),,35.2268514737843,129.010734359901,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00
이디야커피율리점,부산광역시 북구 학사로 295,051 3637566,35.2475827499522,129.012123330948,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,08:00 ~ 23:00 (설 연휴 정상영업),08:00 ~ 23:00 (설 연휴 정상영업)
이디야 부산과학기술대점,부산광역시 북구 시랑로132번길 73,051 3362627,35.1944078753791,129.006218546247,10:00 ~ 21:40,10:00 ~ 21:40,10:00 ~ 21:40,10:00 ~ 21:40,10:00 ~ 21:40,,10:00 ~ 21:40
더벤티 덕천점,부산광역시 북구 백양대로 1200 (덕천동),16614553,35.2093620985423,129.005821934833,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00
이너프커피,부산광역시 북구 산성로47번길 7-6,,35.2411422564704,129.017906932517,,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00
컴포즈커피화명점,부산광역시 북구 화명대로 27,,35.2352319196911,129.011254812893,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00
파스쿠찌구포점,부산광역시 북구 낙동북로 720,051 338 1300,35.198003269737,129.000189943235,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00
이디야커피,부산광역시 기장군 정관읍 정관로 702,051 728 7717,35.320958223103,129.18970982572,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00
쓰담쓰담커피숍,부산광역시 기장군 기장읍 차성로288번길 65,051 722 3568,35.2431164137465,129.217267255009,11:30 ~ 21:30,11:30 ~ 21:30,11:30 ~ 21:30,11:30 ~ 21:30,11:30 ~ 21:30,11:30 ~ 21:30,11:30 ~ 21:30
커피베이 부산사직점,부산광역시 동래구 아시아드대로146번길 4,,35.1974363707432,129.065968419197,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00
만랩커피 부산기장점,부산광역시 기장군 기장읍 차성동로 71,051 723 1211,35.2440747408447,129.216456682156,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00
커피스미스 정관점,부산광역시 기장군 정관읍 정관6로 31,051 704 0142,35.3196973562916,129.177451804668,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00
팔공티 정관광장점,부산광역시 기장군 정관읍 정관로 563,051 728 3373,35.3219150269183,129.175634454968,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00
텐퍼센트 냉정동서대점,부산광역시 사상구 가야대로366번길 19 (주례동),070 47911001,35.150215042913,129.012827347925,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,08:00 ~ 21:00,10:30 ~ 21:30,10:30 ~ 21:30
스타벅스 수영망미DT점,부산광역시 수영구 과정로 68,051 757 2209,35.1773899390167,129.107494570004,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00
모토커피,부산광역시 수영구 과정로 16,051 753 7536,35.1729618917354,129.109024951421,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,10:00 ~ 22:00,11:00 ~ 22:00
컴포즈커피 남천점,부산광역시 수영구 남천동로 36,051 611 7412,35.141195699551,129.111669104187,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00
카페미마,부산광역시 남구 수영로334번길 47-2 (대연동),051 612 9779,35.1364332595161,129.103688997398,11:00 ~ 23:30,11:00 ~ 23:30,11:00 ~ 23:30,11:00 ~ 23:30,11:00 ~ 23:30,11:00 ~ 23:30,12:00 ~ 23:00
이디야,부산광역시 북구 금곡대로 166,051 361 1696,35.2263603201003,129.012210130511,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,09:00 ~ 22:00,10:00 ~ 22:00
투썸플레이스 부산사상점,부산광역시 사상구 사상로 213,051 3171199,35.1641485521417,128.983468109248,09:00 ~ 23:30,09:00 ~ 23:30,09:00 ~ 23:30,09:00 ~ 23:30,09:00 ~ 23:30,09:00 ~ 23:30,09:00 ~ 23:30
텐퍼센트커피 남구청점,부산광역시 남구 못골로41번길 13,051 638 1544,35.1358161193851,129.086334064016,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,09:00 ~ 21:00,09:00 ~ 21:00
할리스 부산경성대점,부산광역시 남구 용소로 7,051 611 6893,35.1366740247463,129.100631797365,09:00 ~ 24:00,09:00 ~ 24:00,09:00 ~ 24:00,09:00 ~ 24:00,09:00 ~ 01:00,09:00 ~ 01:00,09:00 ~ 24:00
더벤티 경성대부경대점,부산광역시 남구 수영로 312 (대연동,051 610 0224,35.1369795296869,129.100620669986,08:30 ~ 23:00,08:30 ~ 23:00,08:30 ~ 23:00,08:30 ~ 23:00,08:30 ~ 23:00,10:30 ~ 23:00,10:30 ~ 23:00
미엘(Miel),부산광역시 남구 못골로 97-5 (대연동),,35.1359191097574,129.092943163705,08:30 ~ 18:00,08:30 ~ 18:00,08:30 ~ 18:00,08:30 ~ 18:00,08:30 ~ 18:00,,
이디야,부산광역시 남구 수영로358번길 12,,35.138837735179,129.104803707388,10:00 ~ 23:30,10:00 ~ 23:30,10:00 ~ 23:30,10:00 ~ 23:30,10:00 ~ 23:30,10:00 ~ 22:30,10:00 ~ 22:30
스타벅스 부산대연역점,부산광역시 남구 수영로 240-1 (대연동),051 621 5676,35.1349262076708,129.093042579996,08:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,07:00 ~ 22:00,08:00 ~ 22:00
더벤티 용호점,부산광역시 남구 동명로 133 (용호동),051 621 8780,35.1198725494941,129.111566052449,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,09:00 ~ 24:00,09:00 ~ 24:00
아마스빈,부산광역시 남구 용소로21번길 31,,35.1356210727693,129.102488498184,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30
투썸플레이스 대연점,부산광역시 남구 수영로 286 (대연동,051 628 2338,35.1359500298896,129.097673124098,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,10:00 ~ 23:00
투썸플레이스,부산광역시 남구 전포대로 26,051633 2388,35.1393056365984,129.067990610961,08:00 ~ 23:30,08:00 ~ 23:30,08:00 ~ 23:30,08:00 ~ 23:30,08:00 ~ 23:30,08:00 ~ 23:30,08:00 ~ 23:30
이디야덕천중앙점,부산광역시 북구 덕천2길 11,051 3432231,35.2090971606231,129.005886896622,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00,09:00 ~ 23:00
감내까페,부산광역시 사하구 감내2로 177 (감천동),07041255557,35.0985460214001,129.010158134187,09:30 ~ 17:00,,09:30 ~ 17:00,,09:30 ~ 17:00,09:30 ~ 17:00,09:30 ~ 17:00
달달,부산광역시 남구 고동골로 68,,35.1431456547075,129.07132477891,09:00 ~ 19:00,09:00 ~ 19:00,09:00 ~ 19:00,09:00 ~ 19:00,09:00 ~ 19:00,09:00 ~ 19:00,
오빠다방,부산광역시 남구 수영로334번길 48,,35.1364520812841,129.103399104509,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,08:00 ~ 23:00,11:00 ~ 22:00,11:00 ~ 22:00
디저트퐁당,부산광역시 남구 용소로21번길 37,,35.1356553532177,129.102823853552,,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 19:00,12:00 ~ 22:00,12:00 ~ 22:00
아지트 B43,부산광역시 남구 백운포로 43,,35.1035829305913,129.112973221813,10:00 ~ 22:30,10:00 ~ 22:30,10:00 ~ 22:30,10:00 ~ 22:30,10:00 ~ 22:30,10:00 ~ 22:30,10:00 ~ 22:30
코코라임(koko Lime),부산광역시 남구 조각공원로 29 (대연동),051 624 1118,35.1297437008798,129.101160255339,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 22:30,09:00 ~ 19:00
담아까페,부산광역시 남구 용호로 154 (용호동),051 714 1373,35.118550369701,129.111519636671,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00
스타벅스 BIFC몰점,부산광역시 남구 문현금융로 40,051633 8916,35.1464917263976,129.065854840531,09:00 ~ 17:00,07:00 ~ 21:00,07:00 ~ 21:00,07:00 ~ 21:00,07:00 ~ 21:00,09:00 ~ 19:00,09:00 ~ 17:00
부산 경성대점 빽다방,부산광역시 남구 수영로298번길 9,,35.1364149584726,129.099154494253,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00,10:00 ~ 21:00
커피스토어 문현점,부산광역시 남구 수영로 25,,35.137214728672,129.070571994578,08:00 ~ 22:30,08:00 ~ 22:30,08:00 ~ 22:30,08:00 ~ 22:30,08:00 ~ 22:30,10:00 ~ 21:30,10:00 ~ 21:30
컴포즈커피 용호메트로점,부산광역시 남구 분포로 115,051 6223800,35.1321898048688,129.112724828547,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00
카페토모,부산광역시 남구 유엔평화로41번길 107 (대연동),,35.1312826365566,129.098012874187,08:30 ~ 02:00,08:30 ~ 02:00,08:30 ~ 02:00,08:30 ~ 02:00,08:30 ~ 02:00,10:00 ~ 02:00,10:00 ~ 02:00
