Name,Address,PhoneNumber,Latitude,Longitude,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
블루샥 영도동삼동오션시티점,부산광역시 영도구 동삼오션로 30,,35.0685343176241,129.083964490314,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,07:30 ~ 21:00,08:30 ~ 21:00,08:30 ~ 21:00
컴포즈커피 구포KTX역점,부산광역시 북구 낙동대로1694번길 6,,35.2058006851703,128.99654558077,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00
카페 플라노,부산광역시 영도구 동삼서로 4,,35.0793572372456,129.068681649785,,,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00,11:00 ~ 20:00
영커피,부산광역시 동래구 연안로 74,,35.1927417818779,129.110161293431,08:00 ~ 01:00,08:00 ~ 01:00,08:00 ~ 01:00,08:00 ~ 01:00,08:00 ~ 01:00,09:00 ~ 01:00,09:00 ~ 24:00
아몽즈 커피 구서점,부산광역시 금정구 금강로 418,,35.2447595504152,129.088584888713,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00,09:00 ~ 21:00
다람쥐똥커피,부산광역시 연제구 거제대로 162,,35.1827029808896,129.07039003937,07:30 ~ 19:00,07:30 ~ 19:00,07:30 ~ 19:00,07:30 ~ 19:00,07:30 ~ 19:00,09:00 ~ 18:00,
카프리쵸,부산광역시 북구 만덕1로104번가길 84,,35.2166659389912,129.029062098679,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00
컴포즈커피,부산광역시 동구 중앙대로349번길 42,,35.126329656245,129.045052746964,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:30 ~ 22:00,07:50 ~ 22:00,08:50 ~ 22:00
동네카페,부산광역시 해운대구 재반로211번길 16-10,,35.1963012095424,129.130088440368,08:00 ~ 20:00,08:00 ~ 20:00,08:00 ~ 20:00,08:00 ~ 20:00,08:00 ~ 20:00,08:00 ~ 20:00,08:00 ~ 20:00
텐퍼센트 부산대점,부산광역시 금정구 금정로 59-9,,35.2299774982738,129.085675515567,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00,08:00 ~ 24:00
그레이코드(Greycord),부산광역시 부산진구 동성로15번길 25,,35.1517521453266,129.067007714646,,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00
영커피 개금주공3단지점,부산광역시 부산진구 백양대로136번길 41,,35.1618274861707,129.033844161354,07:55 ~ 22:50,07:55 ~ 22:50,07:55 ~ 22:50,07:55 ~ 22:50,07:55 ~ 22:50,07:55 ~ 22:50,
사랑해베이글하단점,부산광역시 사하구 제석로18번길 61,,35.1028712625248,128.974248162262,,08:00 ~ 20:00,08:00 ~ 20:00,08:00 ~ 20:00,08:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00
플라피아,부산광역시 금정구 장전온천천로 85-1,,35.2326868787825,129.088893841303,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00,10:00 ~ 20:00
봄날,부산광역시 북구 상학산복길 163 (만덕동),,35.2183738506316,129.038577811515,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,
도넛프렌즈,부산광역시 중구 구덕로22번길 3,,35.0979298260782,129.033149370473,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00,11:00 ~ 21:00
베러먼데이 서부산유통단지점,부산광역시 강서구 유통단지1로49번길 6,,35.1671319944685,128.955250982512,07:30 ~ 19:30,07:30 ~ 19:30,07:30 ~ 19:30,07:30 ~ 19:30,07:30 ~ 19:30,07:30 ~ 15:00,
수영성카페,부산광역시 수영구 망미번영로70번길 137,,35.1694649074575,129.115192146191,09:00 ~ 19:00,09:00 ~ 19:00,09:00 ~ 19:00,09:00 ~ 19:00,09:00 ~ 19:00,09:00 ~ 19:00,09:00 ~ 19:00
커피볶는 시골커피 일광자이푸르지오점,부산광역시 기장군 일광읍 해빛6로 107-5,,35.2655409152745,129.226072858107,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00,08:00 ~ 22:00
채채당,부산광역시 사상구 사상로269번길 13,,35.1689185536064,128.981470580711,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:00,10:30 ~ 20:00
시온 ZION,부산광역시 사하구 승학로233번길 89,,35.1056481435711,128.989656967351,09:30 ~ 18:30,09:30 ~ 18:30,09:30 ~ 18:30,09:30 ~ 18:30,09:30 ~ 18:30,09:30 ~ 14:00,
공차 부산센텀점,부산광역시 해운대구 센텀중앙로 48,,35.1730246551157,129.129851618128,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00,07:00 ~ 23:00
하니시루,부산광역시 연제구 연수로 138,,35.1745155422748,129.085908657001,,10:00 ~ 17:00,10:00 ~ 17:00,10:00 ~ 17:00,10:00 ~ 17:00,10:00 ~ 17:00,10:00 ~ 17:00
카페밴이글,부산광역시 동래구 석사로34번길 18,,35.1989215095502,129.063652568365,,,,,,,
